Thématiques;Questions;reponse Lycée GT Bac;reponse Lycée Pro Bac;reponse Lycée Pro CAP;;Reponse Collège DNB
évaluer et noter;Est-ce que la note de contrôle continu inscrite dans le bulletin intègre la note obtenue dans le cadre de l'épreuve du CCF ?;;;;;La certification des élèves au DNB se fonde sur le contrôle continu. Il n'est pas règlementaire d'organiser des épreuves en CCF au cours de l'année en collège. Cependant, il n'est pas interdit de prévoir des évaluations de fin de séquence qui rendent compte de l'ensemble des acquisitions attendus par les programmes à partir d'un outil évaluatif commun à l'équipe et annexé au projet pédagogique disciplinaire. Cette note obtenue dans une évaluation de fin de séquence pourra participer à la moyenne trimestrielle, avec un coefficient ou pas selon un choix partagé de l'équipe.
évaluer et noter;"Peut-on mettre ""0"" en cas d'absence à l'évaluation ?";"Concernant les épreuves de CCF "" Toute absence non justifiée à la date de l'une des épreuves entraine l'attribution de la note 0 pour l'épreuve correspondante"" BO 2019
""Toute absence à une évaluation ponctuelle doit être dûment justifiée. Le justificatif doit être adressé à l’académie dans laquelle le candidat individuel est inscrit, au plus tard trois jours ouvrables après le déroulement de l’évaluation. Lorsque l’absence n’est pas dûment justifiée, la notation AB valant zéro est attribuée au candidat pour l’évaluation non subie"". "" Bulletin officiel n°30 du 29 juillet 2021  BAC- Modalités d'évaluation des candidats";;;;La note zéro ne peut pas être utilisée pour sanctionner l’absence non justifiée à une évaluation disciplinaire ordinaire (visée à sanction disciplinaire). Lorsque l’absence répétée d’un élève aux évaluations est jugée par son professeur comme faisant peser un risque sur la représentativité de sa moyenne, une nouvelle évaluation peut être spécifiquement organisée à son intention. Dans des cas très rares, et uniquement en cas de moyenne annuelle (moyenne des 3 trimestres) jugée non représentative du fait d’absences répétées, y compris aux rattrapages proposés durant l’année, qu’elles soient justifiées ou non, une évaluation de remplacement peut être proposée avant la fin de l’année scolaire afin de rendre compte du niveau des acquis de l’élève. Cette évaluation de remplacement est une évaluation unique de fin d’année organisée par le chef d’établissement, pour remplacer une moyenne annuelle jugée non représentative.
évaluer et noter;Les élèves doivent-ils être informés des critères d'évaluation ?;L'évaluation est un geste professionnel au service des apprentissages des élèves. Il est ainsi souhaitable d'informer ces derniers des attentes pour chacune des évaluations proposées. Cette information participe au respect du contrat didactique entre l'enseignant et l'élève. Ayant connaissance des critères, et des indicateurs de niveaux, sur lesquels il est évalué, l'élève pourra faire l'expression de sa plus haute valeur.;;;;L'évaluation est un geste professionnel au service des apprentissages des élèves. Il est ainsi souhaitable d'informer ces derniers des attentes pour chacune des évaluations proposées. Cette information participe au respect du contrat didactique entre l'enseignant et l'élève. Ayant connaissance des critères, et des indicateurs de niveaux, sur lesquels il est évalué, l'élève pourra faire l'expression de sa plus haute valeur.
évaluer et noter;Doit-on organiser deux leçons d'évaluation en fin de séquence d'enseignement ?;Le temps pour progresser et apprendre est contraint dans une séquence d'enseignement. Même si l'acte d'évaluation fait partie intégrante du processus d'enseignement et d'apprentissage, l'organisation d'une épreuve au CCF doit s'adapter à la durée d'une leçon. Il s'agit alors de concevoir une épreuve qui doit s'adapter à la durée d'une séance pour évaluer et noter tous les élèves du groupe. Dans le cadre de l'obligation de formalisation du protocole certificatif à transmettre à la CAHN, seule une date est prévue pour une épreuve de CCF (en complément d'une date pour l'épreuve différée).;;;;"Le temps pour progresser et apprendre est contraint dans une séquence d'enseignement. L'acte d'évaluation, et possiblement de notation, fait partie intégrante du processus d'enseignement et d'apprentissage au fil de la séquence en contrôle continu. L'organisation d'une ""épreuve"" de fin de séquence est toutefois possible mais doit s'adapter à la durée d'une leçon. Il s'agit alors de concevoir une épreuve qui doit s'adapter à la durée d'une seule séance pour évaluer et noter tous les élèves du groupe."
évaluer et noter;Pour le contrôle continu, combien de notes doivent-elles être prises en compte pour proposer une moyenne de notes représentative des acquisitions au cours d'une séquence d'enseignement ?;"Pour le contrôle continu: l n'y a pas de réponse règlementaire à cette question. Cependant, la seule évaluation de fin de séquence ne peut seule satisfaire à une moyenne de notes (loi mathématique). Dans le cadre du contrôle continu, il peut être convenu qu'un minimum de 3 évaluations notées, de nature ou non différentes, est nécessaire pour justifier d'un moyenne représentative des acquisitions. D'autres évaluations non notées peuvent participer à l'évaluation des élèves.                                Pour le Contrôle en cours de formation: ""La note du baccalauréat en EPS repose  sur trois épreuves évaluées en Contrôle en cours de formation (CCF) sur l’année de terminale dans des APSA relevant de trois champs d’apprentissage différents, sur la base d’un référentiel collectif élaboré par l’établissement pour chaque APSA programmée par les équipes. L'évaluation  terminale des trois attendus de fin de lycée (AFL) dans une APSA est finalisée lors d’un rendez-vous connu des élèves et des parents. (Guide de l'évaluation des apprentissages et des acquis des élèves dans le cadre de la reforme générale du BAC, 2021)";;;;Il n'y a pas de réponse règlementaire à cette question. Cependant, la seule évaluation de fin de séquence ne peut seule satisfaire à une moyenne de notes (loi mathématique). Dans le cadre du contrôle continu, il peut être convenu qu'un minimum de 3 évaluations notées, de nature ou non différentes, est nécessaire pour justifier d'un moyenne représentative des acquisitions. D'autres évaluations non notées peuvent participer à l'évaluation des élèves.
évaluer et noter;Quel est le temps d'enseignement minimum pour évaluer un élève ?;"D'après le BO 2019  ""L’évaluation des attendus de fin de lycée se réalise dans des activités physiques sportives ou artistiques, et s’organise à l’issue d’une séquence d’enseignement suffisamment longue pour permettre les apprentissages"". Il est raisonnable de penser que des cycles inférieurs à 6 leçons ne puissent être proposés. ";;;;Il n'y a pas de réponse règlementaire à cette question. L'évaluation au collège est prévue en contrôle continu. Toute situation d'enseignement peut possiblement permettre à l'enseignant d'évaluer les élèves. et les informer sur leurs apprentissages. Pour ce qui concerne la certification au DNB, la note proposée doit être suffisamment significative et robuste. Elle est construite au regard des attendus de fin de cycle qui sont prévus dans les programmes.
évaluer et noter;Peut-on proposer des critères d'évaluation basés sur la posture éducative et les progrés des élèves ?;;;;;
évaluer et noter;Peut-on attribuer une note collective aux élèves ?;;;;;Dans le cadre du contrôle continu en collège, l'évaluation collective des élèves est possible. La notation pourra être collective et participer à la construction de la note certificative individuelle au DNB.
évaluer et noter;Comment évaluer un élève qui a oublié sa tenue le jour de l'évaluation de fin de séquence ?;;;;;Si les conditions le permettent, l'élève doit pouvoir être évalué le jour l'évaluation de fin de séquence. Le principe de renvoi vers une autre évaluation (épreuve différée) n'est pas règlementé au collège. Dans la mesure où l'évaluation au collège est construite sur le contrôle continu, l'enseignant doit disposer de suffisamment d'indications (évaluations) prises au cours de la séquence pour attribuer une note trimestrielle ou semestrielle représentative des acquisitions d'un élève. Pour être réellement représentative du niveau d'un élève, la moyenne doit nécessairement être construite à partir d'une pluralité de notes.
évaluer et noter;Comment évaluer les élèves dans une organisation collective lorsque l'un d'eux est inapte ou absent le jour de l'évaluation ?;;;;;L’évaluation doit être maintenue dès lors que les acquisitions individuelles des élèves présents peuvent être observées de manière équitable et pertinente. Seule une atteinte manifeste à la validité de l’évaluation des autres élèves justifie un report collectif, décision qui relève alors d’un choix pédagogique raisonné, et non d’une obligation réglementaire. Dans le cas d'une évaluation repoussée dans le temps pour l'un d'entres eux, les autres élèves du groupe pourront être évalués au cours de celle-ci mais cette évaluation ne devra pas les pénaliser au regard de l'évaluation initiale.
évaluer et noter;Doit-on évaluer les autres élèves lorsque l'on a renvoyé l'un des élèves de l'équipe sur épreuve différée ?;;;;;Renvoyer un élève sur une évaluation différée n’impose pas de suspendre l’évaluation des autres élèves. L’évaluation doit être maintenue avec une organisation pédagogique aménagée dès lors que les acquisitions individuelles des élèves présents peuvent être observées de manière équitable et pertinente. Seule une atteinte manifeste à la validité de l’évaluation des autres élèves justifie un report collectif, décision qui relève alors d’un choix pédagogique raisonné, et non d’une obligation réglementaire. Dans le cas d'une évaluation repoussée dans le temps pour l'un d'entres eux, les autres élèves du groupe pourront être évalués au cours de celle-ci mais cette évaluation ne devra pas les pénaliser au regard de l'évaluation initiale.
Inaptitudes et dispenses;Qu'est ce qu'une épreuve différée ?;"Il s'agit d'une épreuve du CCF qui est repoussée dans le temps, à une autre date que celle prévue initialement dans le protocole certificatif de l'établissement. Elles doivent être prévues par l'établissement pour chacun des CCF. Les candidats qui en bénéficient doivent attester de blessures ou de problèmes de santé temporaires, authentifiés par l'autorité médicale scolaire. Peuvent également en bénéficier les candidats assidus qui, en cas de force majeure, ne peuvent être présents à la date fixée pour les épreuves du CCF, sous réserve de l'obtention de l'accord du chef d'établissement, après consultation des équipes pédagogiques.
Toute absence non justifiée à la date de l'une des épreuves prévues pour le CCF ou différées entraîne l'attribution de la note 0 (zéro) pour l'épreuve correspondante.";;;;Il s'agit d'une épreuve du CCF qui est repoussée dans le temps, à une autre date que celle prévue initialement dans le protocole certificatif de l'établissement. Elles doivent être prévues par l'établissement pour chacun des CCF. Mais le principe d'épreuve différée n'existe pas au collège dans la mesure où celle-ci est uniquement et règlementairement prévue que dans le cadre de la certification de la voie générale et technologique et de la voie professionnelle.
Inaptitudes et dispenses;Quels sont les élèves concernés par une ou des épreuves en contrôle adapté ?;"Le contrôle adapté est destiné aux candidats reconnus en situation de handicap ou présentant une aptitude partielle permanente. Il peut être effectué soit en CCF selon des modalités proposées par l'établissement, soit en examen ponctuel terminal selon des modalités définies par le recteur d'académie dans le cas où l'établissement ne proposerait pas d'épreuve adaptée. Seuls les handicaps ne permettant pas une pratique adaptée au sens de la circulaire n° 94-137 du 30 mars 1994 donnent lieu à une dispense d'épreuve. Un handicap attesté en début d'année par l'autorité médicale peut empêcher une pratique régulière ou complète des enseignements de l'EPS sans pour autant interdire une pratique adaptée. Dans le cadre du contrôle en cours de formation, plusieurs cas peuvent se présenter :
- le candidat peut être évalué sur un ensemble certificatif de trois épreuves, relevant de trois champs d'apprentissage différents, dont l'une au moins est adaptée ;
- le candidat peut être évalué sur un ensemble certificatif de deux épreuves adaptées relevant, autant que possible, de deux champs d'apprentissages différents ;
- pour des cas très particuliers, on pourra proposer une seule épreuve adaptée.
Les adaptations sont proposées après concertation au sein de l'établissement des professeurs d'EPS et des services de santé scolaire, en tenant compte des projets personnalisés de scolarisation (PPS) ou des projets d'accueil individualisé (PAI) encadrant la scolarité du candidat. Les propositions d'adaptation sont soumises à l'approbation du recteur.
Les épreuves adaptées sont, de préférence, issues des listes d'activités nationale, académique ou d'établissement. En cas d'impossibilité de pratique de ces activités par l'élève, l'établissement peut adresser à la commission académique d'harmonisation et de proposition de notes la proposition d'une nouvelle activité respectueuse des exigences de l'examen.
Le contrôle adapté ne concerne pas les élèves en situation d'inaptitude temporaire (partielle ou totale).";;;;"Les élèves présentant un handicap ou une inaptitude partielle permanente peuvent bénéficier d’évaluations adaptées (le concept ""d'épreuve"" n'existe pas dans le cadre du contrôle continu en collège). Un handicap ou une inaptitude totale ne permettant pas une pratique physique, attestée par l’autorité médicale, entraîne une dispense d’évaluation dans le cadre de la certification. Cependant, il est de la responsabilité de l'enseignant de proposer des formes d'évaluation aménagées qui permettent à l'élève de s'engager dans ses apprentissages. Le code de l'éducation rappelle dans son Article D. 312-1 : ""L'éducation physique et sportive figure au programme et dans les horaires, à tous les degrés de l'enseignement public. Elle s'adresse à l'ensemble des élèves. Elle doit être adaptée à l'âge et aux possibilités individuelles, déterminées par un contrôle médical."""
;Qu'est ce qu'une épreuve (au lycée) - évaluation (au collège) aménagée ?;Le contrôle aménagé conduit à un aménagement des conditions de la certification (sans adaptation/modification de la ou des épreuves). Il concerne les élèves en inaptitude partielle temporaire. L'enjeu est de faire vivre une EPS de qualité pour le plus grand nombre d’élèves et donc favoriser l’aménagement plutôt que l’éviction de pratique dans le cadre du CC et/ou le renvoi à l’épreuve différée dans le cadre de la certification qui peut parfois se révéler délicate dans sa mise en oeuvre (pour les enseignants et l’élève).;;;;L'évaluation aménagée est un aménagement des conditions d'évaluation dans une pratique aménagée. Elle concerne les élèves en inaptitude partielle temporaire. L'enjeu est de faire vivre une EPS de qualité pour le plus grand nombre d’élèves et donc favoriser l’aménagement plutôt que l’éviction de pratique dans le cadre du CC.
;Qu'est ce qu'une épreuve adaptée ?;Le contrôle adapté conduit à une situation d’adaptation/modification d’une ou plusieurs épreuves (dites « épreuves adaptées) au regard d'un handicap ou d'une inaptitude permanente attestée. Ces épreuves sont actuellement remontées à la CAHPN. Il peut également impliquer un aménagement des conditions de la certification (certification sur 3, 2 ou une épreuve adaptée).;;;;"Le contrôle adapté conduit à une situation d’adaptation/modification d’une ou plusieurs évaluations au regard d'un handicap ou d'une inaptitude permanente attestée. Il peut également impliquer un aménagement des conditions de la certification au DNB. Le code de l'éducation rappelle dans son Article D. 312-1 : ""L'éducation physique et sportive figure au programme et dans les horaires, à tous les degrés de l'enseignement public. Elle s'adresse à l'ensemble des élèves. Elle doit être adaptée à l'âge et aux possibilités individuelles, déterminées par un contrôle médical."""
Inaptitudes et dispenses;Quelle note attribuée à un élève qui est absent sans réelle justification sur l'ensemble de la séquence d'enseignement mais présent le jour de l'évaluation de fin de séquence ?;;;;;Une seule note de fin de séquence n'est pas une moyenne dans le cadre du contrôle continu. Elle ne peut pas représentée à elle seule la réalité du travail de l'élève sur l'ensemble de la séquence. Pour le trimestre concerné, il s'agit d'indiquer dans le bulletin trimestriel que l'évaluation n'est pas représentative. Lorsque l’absence répétée d’un élève aux évaluations est jugée par son professeur comme faisant peser un risque sur la représentativité de sa moyenne, une nouvelle évaluation peut être spécifiquement organisée à son intention. Dans des cas très rares, et uniquement en cas de moyenne annuelle (moyenne des 3 trimestres) jugée non représentative du fait d’absences répétées, y compris aux rattrapages proposés durant l’année, qu’elles soient justifiées ou non, une évaluation de remplacement peut être proposée avant la fin de l’année scolaire afin de rendre compte du niveau des acquis de l’élève. Cette évaluation de remplacement est une évaluation unique de fin d’année organisée par le chef d’établissement, pour remplacer une moyenne annuelle jugée non représentative.
Inaptitudes et dispenses;Quelles sont les possibilités d'adaptation d'une épreuve dans le cadre du CCF ? Faut-il faire valider ces adaptations par le CAHN ?;La démarche d’adaptation proposée pour une épreuve repose sur l’idée de conserver un degré d’exigence cohérent au regard des besoins et/ou possibilités des élèves en situation de handicap ou d'inaptitude permanente attestée et en adéquation avec les attendus d’une fin de cursus lycée. Il appartient aussi à l’enseignant d’apprécier, au regard des éléments dont il dispose, si la proposition d’une épreuve adaptée se révèle plus judicieuse pour l’élève, au regard de ses possibilités médicalement attestées, des compétences déjà développées, de son parcours de formation, que contraignante. La démarche d’adaptation s’appuie sur le certificat médical d’inaptitude partielle et les préconisations médicales, point de départ de la démarche. Cette analyse préalable devra permettre une meilleure compréhension du ou des leviers d’adaptation choisis par l’enseignant. Cette démarche d’adaptation s’applique à la fois à l’enseignement et aux modalités d’évaluations, définies dans le projet EPS et les protocoles d’évaluation des examens. Elle n’est pas limitée à la seule classe de terminale et s’envisage sur l’ensemble du parcours de formation de l’élève. En termes de principes, il s'agit de conserver la présence et l'articulation entre les dimensions motrices, méthodologiques et sociales, de dépasser la simple prise en compte des incapacités ou des manques, d'inscrire la définition de la pratique dans le déroulé ordinaire de la classe, concevoir une forme de pratique suffisamment accessibles et inclusives pour la majorité des élèves, s'appuyer sur des échanges avec l'élève et sa famille. In fine, toutes les épreuves adaptées dans le cadre de la certification doivent être soumises à la validation de la CAHN.;;;;
Inaptitudes et dispenses;Le niveau d'acquisition d'un critère doit-il être pondéré au regard d'une inaptitude temporaire ou permanente au cours d'une épreuve de fin de séquence (CC ou CCF) ?;;;;;Dans le cadre d'une évaluation de fin de séquence au collège, il est possible de pondérer un critère au regard de l'inaptitude d'un élève. Cette évaluation sera alors aménagée et participera à l'ensemble des évaluations de la séquence pour identifier une note réprésentative des acquisitions pour l'élève. L'évaluation aménagée est un aménagement des conditions d'évaluation dans une pratique aménagée. Elle concerne les élèves en inaptitude partielle temporaire. L'enjeu est de faire vivre une EPS de qualité pour le plus grand nombre d’élèves et donc favoriser l’aménagement plutôt que l’éviction de pratique dans le cadre du CC.
